data,hora,num,ambiente,ssid,bssid,rssi,canal
08/05/2026,07:08:27,21,PET Eng. Elétrica,IFPB,84:f1:47:54:f9:80,-77,11
08/05/2026,07:08:27,21,PET Eng. Elétrica,IFPB,84:f1:47:54:96:e0,-78,1
08/05/2026,07:08:27,21,PET Eng. Elétrica,IFPB,84:f1:47:54:95:e0,-80,11
08/05/2026,07:08:27,21,PET Eng. Elétrica,IFPB-VISITANTE,84:f1:47:54:95:e2,-80,11
08/05/2026,07:08:27,21,PET Eng. Elétrica,IFPB,84:f1:47:54:7f:20,-81,11
08/05/2026,07:08:27,21,PET Eng. Elétrica,IFPB-VISITANTE,84:f1:47:54:7f:22,-81,11
08/05/2026,07:08:27,21,PET Eng. Elétrica,IFPB-VISITANTE,e4:4e:2d:85:4c:62,-88,11
08/05/2026,07:08:27,21,PET Eng. Elétrica,IFPB,e4:4e:2d:85:4c:60,-90,11
08/05/2026,07:08:37,22,PET Eng. Elétrica,IFPB-VISITANTE,84:f1:47:54:fd:c2,-73,6
08/05/2026,07:08:37,22,PET Eng. Elétrica,IFPB,84:f1:47:54:fd:c0,-74,6
08/05/2026,07:08:37,22,PET Eng. Elétrica,IFPB,84:f1:47:54:96:e0,-78,1
08/05/2026,07:08:37,22,PET Eng. Elétrica,IFPB-VISITANTE,84:f1:47:54:96:e2,-78,1
08/05/2026,07:08:37,22,PET Eng. Elétrica,IFPB,84:f1:47:54:95:e0,-79,11
08/05/2026,07:08:37,22,PET Eng. Elétrica,IFPB-VISITANTE,84:f1:47:54:95:e2,-79,11
