data,hora,num,ssid,bssid,rssi,canal,ambiente,areaCrip,codigo
18/11/2025,06:58:45,36,IFPB,84:f1:47:54:8b:a0,-90,11,Pesquisa em Eng. Elétrica,Duck,8
18/11/2025,06:58:54,37,IFPB,e4:4e:2d:85:4c:60,-80,11,Pesquisa em Eng. Elétrica,Duck,8
18/11/2025,06:58:54,37,IFPB-VISITANTE,e4:4e:2d:85:4c:62,-80,11,Pesquisa em Eng. Elétrica,Duck,8
18/11/2025,06:58:54,37,IFPB,84:f1:47:54:eb:20,-85,1,Pesquisa em Eng. Elétrica,Duck,8
18/11/2025,06:58:54,37,IFPB-VISITANTE,84:f1:47:54:eb:22,-86,1,Pesquisa em Eng. Elétrica,Duck,8
18/11/2025,06:58:54,37,IFPB-VISITANTE,24:36:da:2b:bc:02,-87,6,Pesquisa em Eng. Elétrica,Duck,8
18/11/2025,06:58:54,37,IFPB,24:36:da:2b:bc:00,-87,6,Pesquisa em Eng. Elétrica,Duck,8
18/11/2025,06:58:54,37,IFPB,84:f1:47:54:8b:a0,-87,11,Pesquisa em Eng. Elétrica,Duck,8
18/11/2025,06:58:54,37,IFPB-VISITANTE,84:f1:47:54:8b:a2,-87,11,Pesquisa em Eng. Elétrica,Duck,8
18/11/2025,06:58:54,37,IFPB,84:f1:47:54:96:e0,-89,1,Pesquisa em Eng. Elétrica,Duck,8
18/11/2025,06:59:03,38,IFPB,e4:4e:2d:85:4c:60,-78,11,Pesquisa em Eng. Elétrica,Duck,8
18/11/2025,06:59:03,38,IFPB-VISITANTE,e4:4e:2d:85:4c:62,-78,11,Pesquisa em Eng. Elétrica,Duck,8
18/11/2025,06:59:03,38,IFPB-VISITANTE,84:f1:47:54:eb:22,-86,1,Pesquisa em Eng. Elétrica,Duck,8
18/11/2025,06:59:03,38,IFPB,84:f1:47:54:8b:a0,-87,11,Pesquisa em Eng. Elétrica,Duck,8
18/11/2025,06:59:03,38,IFPB-VISITANTE,84:f1:47:54:8b:a2,-87,11,Pesquisa em Eng. Elétrica,Duck,8
18/11/2025,06:59:03,38,IFPB,84:f1:47:54:eb:20,-88,1,Pesquisa em Eng. Elétrica,Duck,8
18/11/2025,06:59:03,38,IFPB-VISITANTE,84:f1:47:54:96:e2,-91,1,Pesquisa em Eng. Elétrica,Duck,8
18/11/2025,06:59:12,39,IFPB,e4:4e:2d:85:4c:60,-79,11,Pesquisa em Eng. Elétrica,Duck,8
18/11/2025,06:59:12,39,IFPB-VISITANTE,e4:4e:2d:85:4c:62,-79,11,Pesquisa em Eng. Elétrica,Duck,8
18/11/2025,06:59:12,39,IFPB,84:f1:47:54:8b:a0,-86,11,Pesquisa em Eng. Elétrica,Duck,8
18/11/2025,06:59:12,39,IFPB,84:f1:47:54:eb:20,-87,1,Pesquisa em Eng. Elétrica,Duck,8
18/11/2025,06:59:12,39,IFPB-VISITANTE,84:f1:47:54:eb:22,-87,1,Pesquisa em Eng. Elétrica,Duck,8
18/11/2025,06:59:12,39,IFPB-VISITANTE,84:f1:47:54:8b:a2,-87,11,Pesquisa em Eng. Elétrica,Duck,8
18/11/2025,06:59:12,39,IFPB-VISITANTE,84:f1:47:54:96:e2,-90,1,Pesquisa em Eng. Elétrica,Duck,8
18/11/2025,06:59:21,40,IFPB,e4:4e:2d:85:4c:60,-84,11,Pesquisa em Eng. Elétrica,Duck,8
18/11/2025,06:59:21,40,IFPB-VISITANTE,e4:4e:2d:85:4c:62,-84,11,Pesquisa em Eng. Elétrica,Duck,8
18/11/2025,06:59:21,40,IFPB-VISITANTE,84:f1:47:54:eb:22,-87,1,Pesquisa em Eng. Elétrica,Duck,8
18/11/2025,06:59:21,40,IFPB,84:f1:47:54:eb:20,-88,1,Pesquisa em Eng. Elétrica,Duck,8
18/11/2025,06:59:21,40,IFPB,84:f1:47:54:8b:a0,-88,11,Pesquisa em Eng. Elétrica,Duck,8
18/11/2025,06:59:21,40,IFPB-VISITANTE,84:f1:47:54:8b:a2,-88,11,Pesquisa em Eng. Elétrica,Duck,8
18/11/2025,06:59:57,41,IFPB,84:f1:47:54:8b:a0,-81,11,Práticas didáticas,Goose,9
18/11/2025,06:59:57,41,IFPB,84:f1:47:54:eb:20,-82,1,Práticas didáticas,Goose,9
18/11/2025,06:59:57,41,IFPB-VISITANTE,84:f1:47:54:eb:22,-82,1,Práticas didáticas,Goose,9
18/11/2025,06:59:57,41,IFPB-VISITANTE,84:f1:47:54:8b:a2,-82,11,Práticas didáticas,Goose,9
