data,hora,num,ssid,bssid,rssi,canal,ambiente
17/03/2026,10:39:18,32,IFPB,84:F1:47:54:F9:80,-85,11,PET Eng. Elétrica 
17/03/2026,10:39:18,32,IFPB,84:F1:47:54:71:00,-88,1,PET Eng. Elétrica 
17/03/2026,10:39:18,32,IFPB-VISITANTE,84:F1:47:54:71:02,-88,1,PET Eng. Elétrica 
17/03/2026,10:39:18,32,IFPB-VISITANTE,84:F1:47:54:96:E2,-88,1,PET Eng. Elétrica 
17/03/2026,10:39:18,32,IFPB-VISITANTE,84:F1:47:54:7F:22,-88,11,PET Eng. Elétrica 
17/03/2026,10:39:18,32,IFPB,84:F1:47:54:7F:20,-89,11,PET Eng. Elétrica 
17/03/2026,10:39:28,33,IFPB,84:F1:47:54:FD:C0,-78,1,PET Eng. Elétrica 
17/03/2026,10:39:28,33,IFPB-VISITANTE,84:F1:47:54:FD:C2,-78,1,PET Eng. Elétrica 
17/03/2026,10:39:28,33,IFPB,84:F1:47:54:95:E0,-80,11,PET Eng. Elétrica 
17/03/2026,10:39:28,33,IFPB-VISITANTE,84:F1:47:54:95:E2,-80,11,PET Eng. Elétrica 
17/03/2026,10:39:28,33,IFPB,84:F1:47:54:71:00,-87,1,PET Eng. Elétrica 
17/03/2026,10:39:28,33,IFPB-VISITANTE,84:F1:47:54:71:02,-87,1,PET Eng. Elétrica 
17/03/2026,10:39:28,33,IFPB,84:F1:47:54:7F:20,-88,11,PET Eng. Elétrica 
17/03/2026,10:39:28,33,IFPB-VISITANTE,84:F1:47:54:7F:22,-89,11,PET Eng. Elétrica 
17/03/2026,10:39:28,33,IFPB,84:F1:47:54:F9:80,-90,11,PET Eng. Elétrica 
17/03/2026,10:39:28,33,IFPB-VISITANTE,84:F1:47:54:F9:82,-91,11,PET Eng. Elétrica 
17/03/2026,10:39:38,34,IFPB,84:F1:47:54:FD:C0,-78,1,PET Eng. Elétrica 
17/03/2026,10:39:38,34,IFPB-VISITANTE,84:F1:47:54:FD:C2,-79,1,PET Eng. Elétrica 
17/03/2026,10:39:38,34,IFPB-VISITANTE,84:F1:47:54:95:E2,-82,11,PET Eng. Elétrica 
17/03/2026,10:39:38,34,IFPB,84:F1:47:54:95:E0,-83,11,PET Eng. Elétrica 
17/03/2026,10:39:38,34,IFPB,84:F1:47:54:7F:20,-87,11,PET Eng. Elétrica 
17/03/2026,10:39:38,34,IFPB,84:F1:47:54:96:E0,-88,1,PET Eng. Elétrica 
17/03/2026,10:39:38,34,IFPB,84:F1:47:54:71:00,-88,1,PET Eng. Elétrica 
17/03/2026,10:39:38,34,IFPB-VISITANTE,84:F1:47:54:EB:22,-88,6,PET Eng. Elétrica 
17/03/2026,10:39:38,34,IFPB-VISITANTE,84:F1:47:54:7F:22,-88,11,PET Eng. Elétrica 
17/03/2026,10:39:39,34,IFPB-VISITANTE,84:F1:47:54:96:E2,-89,1,PET Eng. Elétrica 
17/03/2026,10:39:39,34,IFPB,84:F1:47:54:EB:20,-89,6,PET Eng. Elétrica 
17/03/2026,10:39:39,34,IFPB,84:F1:47:54:F9:80,-89,11,PET Eng. Elétrica 
17/03/2026,10:39:39,34,IFPB-VISITANTE,84:F1:47:54:F9:82,-89,11,PET Eng. Elétrica 
17/03/2026,10:39:48,35,IFPB,84:F1:47:54:FD:C0,-75,1,PET Eng. Elétrica 
17/03/2026,10:39:48,35,IFPB-VISITANTE,84:F1:47:54:FD:C2,-75,1,PET Eng. Elétrica 
17/03/2026,10:39:49,35,IFPB,84:F1:47:54:95:E0,-81,11,PET Eng. Elétrica 
17/03/2026,10:39:49,35,IFPB-VISITANTE,84:F1:47:54:95:E2,-81,11,PET Eng. Elétrica 
17/03/2026,10:39:49,35,IFPB,84:F1:47:54:7F:20,-85,11,PET Eng. Elétrica 
17/03/2026,10:39:49,35,IFPB-VISITANTE,84:F1:47:54:7F:22,-85,11,PET Eng. Elétrica 
17/03/2026,10:39:49,35,IFPB,84:F1:47:54:F9:80,-86,11,PET Eng. Elétrica 
17/03/2026,10:39:49,35,IFPB-VISITANTE,84:F1:47:54:F9:82,-87,11,PET Eng. Elétrica 
17/03/2026,10:39:59,36,IFPB,84:F1:47:54:FD:C0,-76,1,PET Eng. Elétrica 
17/03/2026,10:39:59,36,IFPB-VISITANTE,84:F1:47:54:FD:C2,-77,1,PET Eng. Elétrica 
17/03/2026,10:39:59,36,IFPB,84:F1:47:54:95:E0,-82,11,PET Eng. Elétrica 
17/03/2026,10:39:59,36,IFPB-VISITANTE,84:F1:47:54:95:E2,-83,11,PET Eng. Elétrica 
17/03/2026,10:39:59,36,IFPB-VISITANTE,84:F1:47:54:7F:22,-89,11,PET Eng. Elétrica 
17/03/2026,10:39:59,36,IFPB,84:F1:47:54:7F:20,-89,11,PET Eng. Elétrica 
17/03/2026,10:39:59,36,IFPB-VISITANTE,84:F1:47:54:F9:82,-90,11,PET Eng. Elétrica 
17/03/2026,10:39:59,36,IFPB,84:F1:47:54:F9:80,-91,11,PET Eng. Elétrica 
17/03/2026,10:40:09,37,IFPB,84:F1:47:54:FD:C0,-78,1,PET Eng. Elétrica 
17/03/2026,10:40:09,37,IFPB-VISITANTE,84:F1:47:54:FD:C2,-79,1,PET Eng. Elétrica 
17/03/2026,10:40:09,37,IFPB,84:F1:47:54:F9:80,-86,11,PET Eng. Elétrica 
17/03/2026,10:40:09,37,IFPB-VISITANTE,84:F1:47:54:F9:82,-86,11,PET Eng. Elétrica 
17/03/2026,10:40:09,37,IFPB,84:F1:47:54:95:E0,-86,11,PET Eng. Elétrica 
17/03/2026,10:40:09,37,IFPB-VISITANTE,84:F1:47:54:95:E2,-87,11,PET Eng. Elétrica 
17/03/2026,10:40:09,37,IFPB,84:F1:47:54:EB:20,-92,6,PET Eng. Elétrica 
17/03/2026,10:40:19,38,IFPB,84:F1:47:54:FD:C0,-78,1,PET Eng. Elétrica 
17/03/2026,10:40:19,38,IFPB-VISITANTE,84:F1:47:54:FD:C2,-80,1,PET Eng. Elétrica 
17/03/2026,10:40:19,38,IFPB-VISITANTE,84:F1:47:54:95:E2,-83,11,PET Eng. Elétrica 
17/03/2026,10:40:19,38,IFPB,84:F1:47:54:95:E0,-85,11,PET Eng. Elétrica 
17/03/2026,10:40:19,38,IFPB-VISITANTE,84:F1:47:54:F9:82,-85,11,PET Eng. Elétrica 
17/03/2026,10:40:19,38,IFPB,84:F1:47:54:F9:80,-86,11,PET Eng. Elétrica 
17/03/2026,10:40:19,38,IFPB,84:F1:47:54:71:00,-88,1,PET Eng. Elétrica 
17/03/2026,10:40:19,38,IFPB-VISITANTE,84:F1:47:54:71:02,-89,1,PET Eng. Elétrica 
17/03/2026,10:40:29,39,IFPB,84:F1:47:54:FD:C0,-75,1,PET Eng. Elétrica 
17/03/2026,10:40:29,39,IFPB-VISITANTE,84:F1:47:54:FD:C2,-76,1,PET Eng. Elétrica 
17/03/2026,10:40:29,39,IFPB,84:F1:47:54:95:E0,-79,11,PET Eng. Elétrica 
17/03/2026,10:40:29,39,IFPB-VISITANTE,84:F1:47:54:95:E2,-80,11,PET Eng. Elétrica 
17/03/2026,10:40:29,39,IFPB-VISITANTE,84:F1:47:54:7F:22,-84,11,PET Eng. Elétrica 
17/03/2026,10:40:29,39,IFPB,84:F1:47:54:7F:20,-85,11,PET Eng. Elétrica 
17/03/2026,10:40:29,39,IFPB-VISITANTE,84:F1:47:54:71:02,-87,1,PET Eng. Elétrica 
17/03/2026,10:40:29,39,IFPB,84:F1:47:54:71:00,-88,1,PET Eng. Elétrica 
17/03/2026,10:40:29,39,IFPB-VISITANTE,84:F1:47:54:F9:82,-91,11,PET Eng. Elétrica 
17/03/2026,10:40:39,40,IFPB,84:F1:47:54:FD:C0,-79,1,PET Eng. Elétrica 
17/03/2026,10:40:39,40,IFPB-VISITANTE,84:F1:47:54:FD:C2,-79,1,PET Eng. Elétrica 
17/03/2026,10:40:39,40,IFPB-VISITANTE,84:F1:47:54:95:E2,-83,11,PET Eng. Elétrica 
