num,ambiente,24:36:da:2b:5e:c0,24:36:da:2b:5e:c2,24:36:da:2b:bc:00,24:36:da:2b:bc:02,24:36:da:9f:fb:80,24:36:da:9f:fb:82,24:36:da:a2:7f:40,24:36:da:a2:7f:42,2c:57:41:cd:e1:c0,2c:57:41:cd:e1:c2,2c:57:41:d4:69:c0,2c:57:41:d4:69:c2,2c:57:41:d4:a5:20,2c:57:41:d4:a5:22,84:f1:47:54:6b:80,84:f1:47:54:6b:82,84:f1:47:54:71:00,84:f1:47:54:71:02,84:f1:47:54:7f:20,84:f1:47:54:7f:22,84:f1:47:54:7f:60,84:f1:47:54:7f:62,84:f1:47:54:80:60,84:f1:47:54:80:62,84:f1:47:54:81:00,84:f1:47:54:81:02,84:f1:47:54:8b:a0,84:f1:47:54:8b:a2,84:f1:47:54:95:e0,84:f1:47:54:95:e2,84:f1:47:54:96:e0,84:f1:47:54:96:e2,84:f1:47:54:97:00,84:f1:47:54:97:02,84:f1:47:54:eb:20,84:f1:47:54:eb:22,84:f1:47:54:f9:80,84:f1:47:54:f9:82,84:f1:47:54:fd:60,84:f1:47:54:fd:62,84:f1:47:54:fd:c0,84:f1:47:54:fd:c2,b8:11:4b:1d:12:00,b8:11:4b:1d:12:02,b8:11:4b:1d:14:80,b8:11:4b:1d:14:82,b8:11:4b:1d:1e:40,b8:11:4b:1d:1e:42,e4:4e:2d:85:4c:60,e4:4e:2d:85:4c:62
101,Lab. de redes convergentes,,,-85,-85,,,,,,,,,,,-88,-87,,,,,,,,,,,,,,,-80,-80,,,,,,,,,,,,,,,,,-59,-59
102,Lab. de redes convergentes,,,-85,-84,,,,,,,,,,,-88,-89,,,,,,,,,,,,,,,-81,-81,,,,,,,,,,,,,,,,,-61,-61
103,Lab. de redes convergentes,,,-82,-83,,,,,,,,,,,-89,-87,,,,,,,,,,,,,,,-85,-85,,,,,,,,,,,,,,,,,-61,-61
104,Lab. de redes convergentes,,,-83,-83,,,,,,,,,,,,,,,,,,,,,,,,,,,-84,-85,,,-88,-87,,,,,,,,,,,,,-64,-63
105,Lab. de redes convergentes,,,-85,-85,,,,,,,,,,,-86,-87,,,,,,,,,,,,,,,-85,-85,,,,,,,,,,,,,,,,,-56,-57
106,Lab. de redes convergentes,,,-85,-87,,,,,,,,,,,-88,-87,,,,,,,,,,,,,,,-79,-79,,,,,,,,,,,,,,,,,-58,-56
107,Lab. de redes convergentes,,,-88,-87,,,,,,,,,,,-87,-84,,,,,,,,,,,,,,,-84,-84,,,-86,-88,,,,,,,,,,,,,-59,-59
108,Lab. de redes convergentes,,,-83,-82,,,,,,,,,,,-86,-85,,,,,,,,,,,,,,,-84,-83,,,-86,-87,,,,,,,,,,,,,-64,-64
109,Lab. de redes convergentes,,,-87,-88,,,,,,,,,,,-85,-86,,,,,,,,,,,,,,,-86,-86,,,-89,-90,,,,,,,,,,,,,-57,-57
110,Lab. de redes convergentes,,,-87,,,,,,,,,,,,-84,-84,,,,,,,,,,,,,,,-79,-79,,,-86,-87,,,,,,,,,,,,,-59,-59
111,Lab. de fibras ópticas,,,-87,-86,,,,,,,,,,,-87,-86,,,,,,,,,,,,,,,-78,-78,,,-87,-88,,,,,,,,,,,,,-60,-60
